ownership,papan_pencatatan,ipo_raised_fund,float,price_cat,underwriter_freq_cat,underwriter_avg_aset_cat,underwriter_highest_short_rep,underwriter_highest_mid_rep,underwriter_highest_long_rep,underwriter_has_bigbank,total_aset_cat,equity,leverage_ratio,revenue,turnover_ratio,per,pbv,1d,1w,1m,6m,1y
3,1,272627517519.0,0.0217,2,2,2,0,0,0,0,2,2380000000000.0,0.5630252100840336,481000000000.0,0.1293010752688172,100.0,5.278773138655462,1,0,0,0,0
3,1,37500000000.0,0.2,0,2,1,2,0,0,0,0,30137481612.0,0.5053650784455599,11720717966.0,0.2583481882558938,100.0,6.221488657013137,2,1,0,0,0
3,0,100000000000.0,0.2,0,2,1,1,0,2,0,1,253000000000.0,0.541501976284585,145000000000.0,0.3717948717948718,41.802652859706576,1.976284584980237,0,1,0,2,2
3,4,170004960000.0,0.2001,0,2,1,1,0,0,1,1,349000000000.0,0.6017191977077364,143000000000.0,0.2558139534883721,-111.59858137396559,2.4343839541547276,0,1,1,0,0
3,1,127856827710.0,0.15,1,2,0,1,0,0,0,2,700000000000.0,1.0285714285714285,162000000000.0,0.11408450704225352,30.27470057334234,1.2176840734285714,2,0,0,0,0
2,2,32403532500.0,0.2003,0,2,1,2,0,0,0,0,16454488275.0,0.40758047797752006,12635154569.0,0.5455354079481152,-121.33410344444424,9.83166399928654,1,0,0,0,0
3,1,114000000000.0,0.25,0,2,1,1,0,0,1,1,50138871761.0,0.6475787409970316,82128810016.0,0.9942023689357156,23.085267226901433,9.094739948949048,0,1,1,2,0
3,4,89995500000.0,0.2857,0,2,1,1,0,1,1,1,51000000000.0,3.6470588235294117,453000000000.0,1.9113924050632911,-132.60513809700305,6.176470588235294,0,1,1,0,0
3,2,143986752000.0,0.3731,0,2,1,1,0,0,1,0,27345000000.0,0.55351983909307,9685000000.0,0.22798427532308563,-22.065180102915953,10.0,1,0,1,0,0
2,1,338320446030.0,0.15,1,2,2,2,2,0,1,1,81000000000.0,3.382716049382716,29205224272.0,0.08226823738591549,100.0,10.0,2,1,1,2,0
3,1,176000000000.0,0.2,1,2,1,1,0,0,1,0,46077703902.0,0.3297225485304739,54901084237.0,0.8960434271805431,-79.5799284923773,10.0,2,1,1,2,2
3,2,29697305000.0,0.2494,0,2,0,2,0,0,0,0,16739545593.0,0.11991588307148619,2588362641.0,0.1380689602144012,100.0,7.113395004568927,1,0,0,0,0
2,1,59992974303.024,0.2461,0,2,1,1,1,1,0,1,52827108450.0,0.8491324733674686,137000000000.0,1.4024768519980184,32.24100530712309,4.614577458289788,1,1,1,2,0
3,1,40687500000.0,0.2,0,2,2,1,0,0,0,1,131982305152.0,0.5153546512895505,19262541781.0,0.096312708905,2.3891374854904237,1.5413998093585894,1,1,0,0,0
3,0,180000000000.0,0.24,1,2,1,1,0,0,1,1,342000000000.0,0.36257309941520466,245000000000.0,0.5257510729613734,11.207120130035026,2.1929824561403506,2,0,0,0,2
